Name,Year Published,Min Players,Max Players,Play Time,Users Rated,Rating Average,Complexity Average,Mechanics
Gheos,2006,2,4,60,1709,6.51059,2.4487, Commodity Speculation
Gheos,2006,2,4,60,1709,6.51059,2.4487, Stock Holding
Gheos,2006,2,4,60,1709,6.51059,2.4487, Tile Placement
Tulip Bubble,2017,3,5,70,727,7.15631,2.5217,Auction/Bidding
Tulip Bubble,2017,3,5,70,727,7.15631,2.5217, Card Drafting
Tulip Bubble,2017,3,5,70,727,7.15631,2.5217, Commodity Speculation
Tulip Bubble,2017,3,5,70,727,7.15631,2.5217, Contracts
Tulip Bubble,2017,3,5,70,727,7.15631,2.5217, Set Collection
1st & Goal,2011,2,4,150,1580,6.56145,1.8148,Dice Rolling
1st & Goal,2011,2,4,150,1580,6.56145,1.8148, Hand Management
1st & Goal,2011,2,4,150,1580,6.56145,1.8148, Simultaneous Action Selection
The Cave,2012,2,5,60,1755,6.50969,2.5155,Action Points
The Cave,2012,2,5,60,1755,6.50969,2.5155, Modular Board
The Cave,2012,2,5,60,1755,6.50969,2.5155, Set Collection
The Cave,2012,2,5,60,1755,6.50969,2.5155, Tile Placement
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857,Communication Limits
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Cooperative Game
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Hand Management
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Move Through Deck
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Push Your Luck
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Scenario / Mission / Campaign Game
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Solo / Solitaire Game
The Grizzled: Armistice Edition,2018,1,4,45,472,7.8619,2.2857, Variable Player Powers
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444,Dice Rolling
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Grid Movement
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Hexagon Grid
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Movement Points
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Ratio / Combat Results Table
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Scenario / Mission / Campaign Game
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Simulation
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Variable Set-up
Panzergruppe Guderian,1976,2,2,300,683,7.32815,2.8444, Zone of Control
Invasion from Outer Space: The Martian Game,2010,2,6,120,848,7.05818,2.7833,Dice Rolling
Invasion from Outer Space: The Martian Game,2010,2,6,120,848,7.05818,2.7833, Modular Board
Invasion from Outer Space: The Martian Game,2010,2,6,120,848,7.05818,2.7833, Roll / Spin and Move
Invasion from Outer Space: The Martian Game,2010,2,6,120,848,7.05818,2.7833, Team-Based Game
Invasion from Outer Space: The Martian Game,2010,2,6,120,848,7.05818,2.7833, Variable Player Powers
Ride the Rails,2020,3,5,60,614,7.37925,2.2941,Network and Route Building
Ride the Rails,2020,3,5,60,614,7.37925,2.2941, Pick-up and Deliver
Ride the Rails,2020,3,5,60,614,7.37925,2.2941, Stock Holding
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091,Action Points
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091, Action Queue
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091, Area Movement
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091, Cooperative Game
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091, Point to Point Movement
Carnival Zombie,2013,1,6,120,765,7.13482,3.3091, Variable Player Powers
Chakra,2019,2,4,30,968,6.95776,1.7333,Set Collection
Pelican Cove,2011,1,5,30,1131,6.73943,1.8,Pattern Recognition
Archon: Glory & Machination,2013,2,4,120,850,6.97532,3.1034,Action Queue
Archon: Glory & Machination,2013,2,4,120,850,6.97532,3.1034, Deck Bag and Pool Building
Archon: Glory & Machination,2013,2,4,120,850,6.97532,3.1034, Hand Management
Archon: Glory & Machination,2013,2,4,120,850,6.97532,3.1034, Secret Unit Deployment
Archon: Glory & Machination,2013,2,4,120,850,6.97532,3.1034, Worker Placement
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636,Area Majority / Influence
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Area Movement
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Card Drafting
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Catch the Leader
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Dice Rolling
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Turn Order: Role Order
A Brief History of the World,2009,3,6,180,910,6.89852,2.8636, Turn Order: Stat-Based
Round House,2016,2,5,90,737,7.22388,3.32,Card Drafting
Round House,2016,2,5,90,737,7.22388,3.32, Rondel
Round House,2016,2,5,90,737,7.22388,3.32, Set Collection
Round House,2016,2,5,90,737,7.22388,3.32, Worker Placement
Rook,1906,2,6,45,2543,6.40899,1.8689,Auction/Bidding
Rook,1906,2,6,45,2543,6.40899,1.8689, Card Drafting
Rook,1906,2,6,45,2543,6.40899,1.8689, Hand Management
Rook,1906,2,6,45,2543,6.40899,1.8689, Team-Based Game
Rook,1906,2,6,45,2543,6.40899,1.8689, Trick-taking
Import / Export,2017,2,6,90,670,7.32818,3.2174,Auction/Bidding
Import / Export,2017,2,6,90,670,7.32818,3.2174, Commodity Speculation
Import / Export,2017,2,6,90,670,7.32818,3.2174, Hand Management
Import / Export,2017,2,6,90,670,7.32818,3.2174, Pick-up and Deliver
Import / Export,2017,2,6,90,670,7.32818,3.2174, Stock Holding
Import / Export,2017,2,6,90,670,7.32818,3.2174, Take That
Import / Export,2017,2,6,90,670,7.32818,3.2174, Variable Player Powers
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322,Area Majority / Influence
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322, Area Movement
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322, Dice Rolling
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322, Pick-up and Deliver
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322, Team-Based Game
Serenissima (Second Edition),2012,2,4,90,898,6.95972,2.9322, Trading
Blue Max,1983,2,6,60,804,7.11543,2.268,Critical Hits and Failures
Blue Max,1983,2,6,60,804,7.11543,2.268, Dice Rolling
Blue Max,1983,2,6,60,804,7.11543,2.268, Events
Blue Max,1983,2,6,60,804,7.11543,2.268, Grid Movement
Blue Max,1983,2,6,60,804,7.11543,2.268, Hexagon Grid
Blue Max,1983,2,6,60,804,7.11543,2.268, Movement Template
Blue Max,1983,2,6,60,804,7.11543,2.268, Role Playing
Blue Max,1983,2,6,60,804,7.11543,2.268, Scenario / Mission / Campaign Game
Blue Max,1983,2,6,60,804,7.11543,2.268, Simulation
Blue Max,1983,2,6,60,804,7.11543,2.268, Simultaneous Action Selection
Blue Max,1983,2,6,60,804,7.11543,2.268, Three Dimensional Movement
Blue Max,1983,2,6,60,804,7.11543,2.268, Variable Set-up
Rivet Wars: Eastern Front,2013,2,2,30,937,7.01782,2.4423,Dice Rolling
Rivet Wars: Eastern Front,2013,2,2,30,937,7.01782,2.4423, Grid Movement
Rivet Wars: Eastern Front,2013,2,2,30,937,7.01782,2.4423, Modular Board
Rivet Wars: Eastern Front,2013,2,2,30,937,7.01782,2.4423, Variable Player Powers
Medieval Merchant,1998,2,6,90,1140,6.72529,3.0952,Area Majority / Influence
Medieval Merchant,1998,2,6,90,1140,6.72529,3.0952, Network and Route Building
The Blood of an Englishman,2016,2,2,30,1285,6.67527,1.7222,Pattern Building
The Blood of an Englishman,2016,2,2,30,1285,6.67527,1.7222, Variable Player Powers
Bazaar,1967,2,6,45,1661,6.52529,2.0284,Set Collection
Bazaar,1967,2,6,45,1661,6.52529,2.0284, Trading
Linq,2004,4,8,45,941,6.87717,1.4167,Pattern Recognition
Linq,2004,4,8,45,941,6.87717,1.4167, Targeted Clues
Linq,2004,4,8,45,941,6.87717,1.4167, Team-Based Game
Linq,2004,4,8,45,941,6.87717,1.4167, Voting
The Castle of the Devil,2010,4,8,40,2149,6.44016,1.974,Hand Management
The Castle of the Devil,2010,4,8,40,2149,6.44016,1.974, Role Playing
The Castle of the Devil,2010,4,8,40,2149,6.44016,1.974, Variable Player Powers
Dungeon Command: Tyranny of Goblins,2012,2,4,90,664,7.40866,2.7073,Action Points
Dungeon Command: Tyranny of Goblins,2012,2,4,90,664,7.40866,2.7073, Area Movement
Dungeon Command: Tyranny of Goblins,2012,2,4,90,664,7.40866,2.7073, Campaign / Battle Card Driven
Dungeon Command: Tyranny of Goblins,2012,2,4,90,664,7.40866,2.7073, Hand Management
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286,Area Majority / Influence
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286, Area Movement
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286, Dice Rolling
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286, Solo / Solitaire Game
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286, Variable Phase Order
"Gandhi: The Decolonization of British India, 1917 - 1947",2019,1,4,240,402,8.21653,4.0286, Variable Player Powers
Sonar,2017,2,4,30,1111,6.74583,1.8889,Line Drawing
Sonar,2017,2,4,30,1111,6.74583,1.8889, Secret Unit Deployment
Sonar,2017,2,4,30,1111,6.74583,1.8889, Team-Based Game
Die Siedler von Nürnberg,1999,3,4,90,900,6.92947,2.7895,Dice Rolling
Die Siedler von Nürnberg,1999,3,4,90,900,6.92947,2.7895, Hand Management
Die Siedler von Nürnberg,1999,3,4,90,900,6.92947,2.7895, Memory
Die Siedler von Nürnberg,1999,3,4,90,900,6.92947,2.7895, Trading
Saloon Tycoon,2015,2,4,60,789,7.1301,2.2593,Action Points
Saloon Tycoon,2015,2,4,60,789,7.1301,2.2593, Card Drafting
Saloon Tycoon,2015,2,4,60,789,7.1301,2.2593, Tile Placement
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154,Action Queue
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Cooperative Game
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Grid Movement
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Modular Board
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Pick-up and Deliver
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Solo / Solitaire Game
Quodd Heroes,2019,1,6,90,693,7.42398,3.1154, Variable Player Powers
Star Wars: Destiny - Two-Player Game,2017,2,2,30,742,7.17569,2.3333,Dice Rolling
Star Wars: Destiny - Two-Player Game,2017,2,2,30,742,7.17569,2.3333, Hand Management
Star Wars: Destiny - Two-Player Game,2017,2,2,30,742,7.17569,2.3333, Variable Player Powers
Coyote,2003,3,6,30,1362,6.60937,1.2091,Player Elimination
Set & Match,2017,2,4,30,534,7.61318,1.0667,Flicking
Set & Match,2017,2,4,30,534,7.61318,1.0667, Simulation
Blood Bound,2013,6,12,30,1450,6.62508,1.6719,Role Playing
Blood Bound,2013,6,12,30,1450,6.62508,1.6719, Team-Based Game
Blood Bound,2013,6,12,30,1450,6.62508,1.6719, Variable Player Powers
Garden Dice,2012,2,4,60,1243,6.67212,2.1194,Dice Rolling
Garden Dice,2012,2,4,60,1243,6.67212,2.1194, Set Collection
Garden Dice,2012,2,4,60,1243,6.67212,2.1194, Tile Placement
New England,2003,3,4,90,1811,6.47691,2.4656,Auction/Bidding
New England,2003,3,4,90,1811,6.47691,2.4656, Tile Placement
Wings of Glory: WW1 Rules and Accessories Pack,2012,2,99,30,503,7.98181,2.0417,Action Queue
Wings of Glory: WW1 Rules and Accessories Pack,2012,2,99,30,503,7.98181,2.0417, Simulation
Wings of Glory: WW1 Rules and Accessories Pack,2012,2,99,30,503,7.98181,2.0417, Simultaneous Action Selection
Wings of Glory: WW1 Rules and Accessories Pack,2012,2,99,30,503,7.98181,2.0417, Team-Based Game
Kerala: The Way of the Elephant,2016,2,5,30,972,6.86828,1.84,Card Drafting
Kerala: The Way of the Elephant,2016,2,5,30,972,6.86828,1.84, Tile Placement
Noria,2017,2,4,120,1682,6.54718,3.625,Deck Bag and Pool Building
Cóatl,2020,1,4,60,596,7.52008,2,Contracts
Cóatl,2020,1,4,60,596,7.52008,2, Hand Management
Cóatl,2020,1,4,60,596,7.52008,2, Pattern Building
Cóatl,2020,1,4,60,596,7.52008,2, Set Collection
Songbirds,2016,1,4,20,975,6.88223,1.6875,Area Majority / Influence
Songbirds,2016,1,4,20,975,6.88223,1.6875, Hand Management
Fast Flowing Forest Fellers,2008,2,5,30,1571,6.51516,1.529,Bias
Fast Flowing Forest Fellers,2008,2,5,30,1571,6.51516,1.529, Hand Management
Fast Flowing Forest Fellers,2008,2,5,30,1571,6.51516,1.529, Modular Board
Fast Flowing Forest Fellers,2008,2,5,30,1571,6.51516,1.529, Point to Point Movement
Lincoln,2018,2,2,120,732,7.14831,2.5312,Area Majority / Influence
Lincoln,2018,2,2,120,732,7.14831,2.5312, Hand Management
Lincoln,2018,2,2,120,732,7.14831,2.5312, Point to Point Movement
Silver,2019,2,4,60,880,7.00181,1.8333,Hand Management
Duel in the Dark,2007,1,2,45,1411,6.62358,2.4851,Action Queue
Duel in the Dark,2007,1,2,45,1411,6.62358,2.4851, Hexagon Grid
Duel in the Dark,2007,1,2,45,1411,6.62358,2.4851, Secret Unit Deployment
Duel in the Dark,2007,1,2,45,1411,6.62358,2.4851, Simulation
Abracada...What?,2014,2,5,30,1518,6.59061,1.6667,Memory
Abracada...What?,2014,2,5,30,1518,6.59061,1.6667, Push Your Luck
Abracada...What?,2014,2,5,30,1518,6.59061,1.6667, Roles with Asymmetric Information
Fuji,2018,2,4,45,1269,6.69122,2.2,Communication Limits
Fuji,2018,2,4,45,1269,6.69122,2.2, Cooperative Game
Fuji,2018,2,4,45,1269,6.69122,2.2, Dice Rolling
Fuji,2018,2,4,45,1269,6.69122,2.2, Grid Movement
Fuji,2018,2,4,45,1269,6.69122,2.2, Variable Player Powers
Turning Point: Stalingrad,1989,1,2,1800,704,7.25244,3.3178,Area-Impulse
Tales of the Arabian Nights,1985,1,6,120,802,7.04415,2.425,Point to Point Movement
Tales of the Arabian Nights,1985,1,6,120,802,7.04415,2.425, Storytelling
Tales of the Arabian Nights,1985,1,6,120,802,7.04415,2.425, Trading
Tales of the Arabian Nights,1985,1,6,120,802,7.04415,2.425, Variable Player Powers
Field Commander: Alexander,2009,1,1,90,784,7.08499,2.3176,Area Movement
Field Commander: Alexander,2009,1,1,90,784,7.08499,2.3176, Dice Rolling
Field Commander: Alexander,2009,1,1,90,784,7.08499,2.3176, Solo / Solitaire Game
Harvest,2017,2,4,75,765,7.11674,2.5385,Card Drafting
Harvest,2017,2,4,75,765,7.11674,2.5385, Variable Player Powers
Harvest,2017,2,4,75,765,7.11674,2.5385, Worker Placement
Vault Wars,2015,3,5,60,1015,6.85758,2.1,Auction/Bidding
Vault Wars,2015,3,5,60,1015,6.85758,2.1, Card Drafting
Vault Wars,2015,3,5,60,1015,6.85758,2.1, Set Collection
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075,Cooperative Game
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075, Dice Rolling
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075, Hand Management
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075, Narrative Choice / Paragraph
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075, Solo / Solitaire Game
Choose Your Own Adventure: House of Danger,2018,1,99,60,2146,6.4436,1.075, Storytelling
Finished!,2017,1,1,45,1118,6.75371,2.129,Hand Management
Finished!,2017,1,1,45,1118,6.75371,2.129, Memory
Finished!,2017,1,1,45,1118,6.75371,2.129, Solo / Solitaire Game
RAF,1986,1,1,180,605,7.36928,3.1294,Campaign / Battle Card Driven
RAF,1986,1,1,180,605,7.36928,3.1294, Dice Rolling
RAF,1986,1,1,180,605,7.36928,3.1294, Movement Points
