Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Mechanics,Domains
Power Grid,2004,2,6,120,12,56214,7.85549,3.2717,66489,"Auction/Bidding, Auction: Turn Order Until Pass, Catch the Leader, Income, Market, Network and Route Building, Turn Order: Stat-Based",Strategy Games
Tzolk'in: The Mayan Calendar,2012,2,4,90,13,30790,7.90203,3.6677,35520,"Bias, End Game Bonuses, Turn Order: Claim Action, Worker Placement",Strategy Games
The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027,8.01935,1.9939,31356,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking",Family Games
The Crew: The Quest for Planet Nine,2019,2,5,20,10,15027,8.01935,1.9939,31356,"Communication Limits, Cooperative Game, Hand Management, Scenario / Mission / Campaign Game, Trick-taking", Strategy Games
Mechs vs. Minions,2016,2,4,120,14,14056,8.0456,2.4113,20196,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers",Strategy Games
Mechs vs. Minions,2016,2,4,120,14,14056,8.0456,2.4113,20196,"Action Queue, Bias, Card Drafting, Cooperative Game, Dice Rolling, Modular Board, Programmed Movement, Role Playing, Variable Player Powers", Thematic Games
Underwater Cities,2018,1,4,150,12,9979,8.12686,3.5838,13474,"End Game Bonuses, Hand Management, Income, Network and Route Building, Solo / Solitaire Game, Turn Order: Stat-Based, Worker Placement",Strategy Games
Star Wars: Imperial Assault,2014,1,5,120,14,20512,8.01601,3.3043,35018,"Dice Rolling, Die Icon Resolution, Grid Movement, Line of Sight, Modular Board, Role Playing, Scenario / Mission / Campaign Game, Team-Based Game, Variable Player Powers",Thematic Games
Clans of Caledonia,2017,1,4,120,12,14835,8.0066,3.4583,17634,"Commodity Speculation, Contracts, Market, Modular Board, Network and Route Building, Solo / Solitaire Game, Turn Order: Pass Order, Variable Player Powers, Variable Set-up",Strategy Games
Anachrony,2017,1,4,120,15,11585,8.09883,3.9969,15513,"Dice Rolling, Solo / Solitaire Game, Tug of War, Turn Order: Claim Action, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",Strategy Games
Le Havre,2008,1,5,150,12,26494,7.86847,3.7427,29701,"Automatic Resource Growth, End Game Bonuses, Increase Value of Unchosen Resources, Loans, Ownership, Solo / Solitaire Game, Worker Placement",Strategy Games
Too Many Bones,2017,1,4,120,12,6055,8.44516,3.854,9087,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers",Strategy Games
Too Many Bones,2017,1,4,120,12,6055,8.44516,3.854,9087,"Cooperative Game, Deck Bag and Pool Building, Dice Rolling, Die Icon Resolution, Hand Management, Resource to Move, Role Playing, Roles with Asymmetric Information, Solo / Solitaire Game, Stat Check Resolution, Turn Order: Role Order, Variable Player Powers", Thematic Games
Through the Ages: A Story of Civilization,2006,2,4,120,12,18004,7.92707,4.1747,17423,"Action Points, Auction/Bidding, Auction: Dutch, Card Drafting, Hand Management",Strategy Games
